Observation Date,Retail Sales Volume,Retail Price,ACV Distribution,Competition,EDLP,Trade Any Promo,TV,Print,Online Display,Pre-roll Video,Paid Search,Public Relations,FSI,Digital Coupon,Shopper Marketing
1/9/2015,2117649.138,5.548586731,52.67252097,2019387.45,31.685,16.3,0,0,2619386,40059,881779,15.38265694,0,0,0
1/16/2015,2466392.811,5.527570979,53.25040009,2031264.584,86.445,69.6,0,0,941329,71772,1430013,15.38265694,10000000,0,0
1/23/2015,2618963.009,5.526846624,53.31757377,1975267.542,84.03,67.5,0,0,6544363,78936,1276988,15.38265694,10000000,21000,0
1/30/2015,2365849.376,5.514291396,53.80680326,2059853.225,1.74,1.5,0,0,10715308,82604,1331200,15.38265694,0,0,0
2/6/2015,2644266.49,5.51888206,54.10408095,2016751.367,83.055,97,0,0,12182336,87225,1436816,23.35623046,40000000,17000,0
2/13/2015,2894390.025,5.529268836,53.8121738,2002775.276,82.355,96,0,5,7489294,90008,1315050,24.68515938,40000000,5000,0
2/20/2015,3020454.209,5.507356649,53.94884323,1989670.898,77.97,95,0,5,10631317,977807,6288404,24.68515938,40000000,0,0
2/27/2015,2829256.265,5.485797015,54.00968826,2167654.087,72.16,94.7,0,5,6556646,302686,2668052,24.68515938,40000000,18000,0
3/6/2015,2642587.891,5.484218644,54.37237323,2178561.058,90.455,99,0,5,4990064,107260,1258764,7.893313662,50000000,0,0
3/13/2015,2769731.988,5.465286413,54.59799288,2306530.726,78.26,89.1,59.6,5,5622512,110519,1247899,5.09467271,50000000,52000,0
3/20/2015,2881662.51,5.458091263,54.88323186,2096104.298,79.64,84.7,56.2,5,6624930,109886,1266407,5.09467271,20000000,0,0
3/27/2015,2765577.053,5.447141992,54.98287994,2050340.25,74.405,98,59.2,5,6959725,105843,1222458,5.09467271,20000000,11000,0
4/3/2015,2615451.708,5.450132251,54.9568281,2067767.498,76.945,99,0,5,6545158,101390,1141494,4.012883998,20000000,108000,0
4/10/2015,2988560.706,5.435513993,55.43288679,2028262.829,75.585,88.1,91.2,26,6786860,114320,1173657,2.57049905,20000000,0,0
4/17/2015,2642132.352,5.451169499,55.56621017,2055776.512,81.05,68,75.3,26,7176968,112488,1121682,2.57049905,20000000,0,0
4/24/2015,2918257.236,5.464158149,56.01972335,1902483.207,66.54,55.4,68.4,26,6181590,106814,994981,2.57049905,20000000,150000,0
5/1/2015,2683834.517,5.449870797,56.35548269,2007861.899,84.14,71.6,0,26,5300157,109988,1109660,3.678112981,20000000,0,0
5/8/2015,2622808.427,5.42907259,56.61251304,2162830.73,83.075,69.7,0,6,4972144,105800,1069631,10.32379656,40000000,29000,77755.09
5/15/2015,2531775.823,5.395975998,57.11838542,2270623.713,82.175,62.7,62.2,6,5586587,98734,1072929,10.32379656,40000000,20000,77755.09
5/22/2015,2526115.149,5.41473212,57.05712081,2328388.227,81.26,70.7,63.4,6,5617178,94127,1019529,10.32379656,40000000,53000,77755.09
5/29/2015,2484413.72,5.408333161,57.41939371,2381388.455,81.535,59,58.8,6,6023008,97979,930145,10.32379656,0,117000,77755.09
6/5/2015,2197552.844,5.398351218,57.77678619,2367141.386,63.03,49.4,0,6,6122856,94903,1140273,57.70496827,0,4000,77755.09
6/12/2015,2139393.081,5.400425302,58.63972308,2397349.198,49.305,34.8,0,7,6342273,101922,1332875,76.65743696,0,0,116151.56
6/19/2015,2464011.204,5.372038476,59.26724074,2496005.86,77.79,59.7,64.9,7,5445417,109862,1015374,76.65743696,0,170000,116151.56
6/26/2015,2171108.778,5.377505913,59.73751914,2577695.786,81.07,59,62.7,7,8539142,110976,1243896,76.65743696,0,220000,116151.56
7/3/2015,2311708.053,5.380892214,60.42412952,2649295.753,49.285,45.2,60.6,7,7814568,111258,1151129,53.73180958,0,37000,116151.56
7/10/2015,1979055.695,5.386055917,60.54180106,2756185.33,57.81,63.9,0,16,6228868,92952,1215926,23.1643064,0,0,171087.56
